maven/mavencentral/org.apache.qpid/proton-j/0.33.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.qpid/qpid-jms-client/0.54.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.atteo.classindex/classindex/3.8, Apache-2.0, approved, CQ20713
maven/mavencentral/org.jctools/jctools-core/2.1.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.jetbrains/annotations/16.0.3, Apache-2.0, approved, CQ20715
maven/mavencentral/org.lmdbjava/lmdbjava/0.7.0, , approved, CQ22433
maven/mavencentral/org.lz4/lz4-java/1.7.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.mongodb/bson/4.1.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.mongodb/mongodb-driver-core/4.1.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.mongodb/mongodb-driver-reactivestreams/4.1.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.mongodb.scala/mongo-scala-bson_2.13/4.1.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.mongodb.scala/mongo-scala-driver_2.13/4.1.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.mozilla/rhino-runtime/1.7.13, MPL-2.0 AND BSD-3-Clause AND X11, approved, CQ22749
maven/mavencentral/org.ow2.asm/asm/7.2, BSD-3-Clause, approved, clearlydefined
maven/mavencentral/org.ow2.asm/asm-analysis/7.2, BSD-3-Clause, approved, clearlydefined
maven/mavencentral/org.ow2.asm/asm-commons/7.2, BSD-3-Clause, approved, clearlydefined
maven/mavencentral/org.ow2.asm/asm-tree/7.2, BSD-3-Clause, approved, clearlydefined
maven/mavencentral/org.ow2.asm/asm-util/7.2, BSD-3-Clause, approved, clearlydefined
maven/mavencentral/org.reactivestreams/reactive-streams/1.0.3, CC0-1.0, approved, CQ16332
maven/mavencentral/org.scala-lang.modules/scala-java8-compat_2.13/0.9.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.scala-lang.modules/scala-parser-combinators_2.13/1.1.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.scala-lang/scala-library/2.13.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.scala-lang/scala-reflect/2.13.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.slf4j/slf4j-api/1.7.30, MIT, approved, CQ13368
maven/mavencentral/org.webjars.npm/bytebuffer/5.0.1, Apache-2.0 AND MIT, approved, CQ16728
maven/mavencentral/org.webjars.npm/long/3.2.0, Apache-2.0, approved, CQ16729
maven/mavencentral/org.xerial.snappy/snappy-java/1.1.7.3, Apache-2.0, approved, clearlydefined
